Macroplot,SampleEventDate,SampleEventTeam,SampleEventComment,MonStatusOrd,MonStatus,LegacyMonStatus,Purpose,LocatedBy,Type,Latitude,Longitude,UTM_X,UTM_Y,UTM_Zone,Datum,PDOP,Precision,DateIn,FutureVisit,DateOut,Elevation,ElevationUnits,Azimuth,Aspect,SlopeHill,SlopeTransect,StartPoint,Directions,Comments,MetaData,UV1,UV2,UV3,UV4,UV5,UV6,UV7,UV8
"BELA-NIM-06",7/14/1973,"C. Racine","Pre-fire data taken on steep backslope  (13.5% slope) before transects were permanently marked.",7,"PreBurn","PreBurn","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-06",7/16/1978,"C.Racine, M.Racine","Frost scars exposed soil because cover over them has burned off.  Soil profiles 10-15 cm remaining organic covering brown to orange-yellow thawed mineral layer. Quadrat 1 in a frost boil. Old woody stems Quad 4.",8,"PostBurnYear1","PostBurnYear1","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-06",7/27/1979,"C.Racine, J. Dennis, K. Deveraux","General area:  Intense burning was along the edges of willow thickets near site 6, now colonized by EPAN, MAPO, CEPU, Senecio congestus, and tillering CAAQ.  Deposit of mineral soil over burned surface.",9,"PostBurnYear2","PostBurnYear2","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-06",7/3/1980,"K. Deveraux","",10,"PostBurnYear3","PostBurnYear3","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-06",7/26/1983,"C. Racine","0-m rebar and PVC ; 10-m rebar  Site is now well-developed  sedge meadow of Carex bigellowii 40-50 cm with tillering E. Vag starting to form new tussocks. Some tiny Senecio. No active layer measured but soil temps measured.",11,"PostBurnYear6","PostBurnYear6","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-06",8/15/2001,"R.Jandt, C. and M. Racine, J. Cole, C.R. Meyers, J. Dennis","",12,"PostBurnYear24","PostBurnYear24","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-06",7/8/2009,"J. Allen, R. Jandt","0m - Rebar and wooden lathe, pinflag wrapped around rebar.  10m; Photos labeled as site S in Chucks photos of lake and pond are actually site 6.  Severity- High",13,"PostBurnYear32","PostBurnYear32","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-06",8/1/2019 8:15:49 AM,"Jennifer Barnes  Jennifer Hrobak  David Swanson  Celia Miller","Frost heaves around area. Rebar @ 0m and 10m. SAPU looks taller, not a lot more since 2009.    Repeat Photos: (JB Camera)  - @ 1132: Similar to 2001 with Randi at end  - @ 1130-1131: Similar to Nim-06 1973  - @ 1127: Dave looking down @ lake similar to 3 photos from 1983  - @ 1122-1124: Similar to 1973 Nim-06",14,"PostBurnYear42","PostBurnYear42","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-07",,"","",,"","","Pre- and Post- Fire Effects (PPF)","Trimble GeoXT 2005","Burn",65.62127672,-163.1034556,,,"","NAD83 2011",,0.6,7/15/1978,,,429.406,"meters",24,280,12,5,"Coordinates listed above are for 0 M end of transect.  Lat/Long for 10 M end: 65.621358   x  -163.1033726   (error: 0.6 m)    Plot Markers: Rebar at 0m and 10m transect ends.","Declination: 16 deg E","Plot Layout:    *Plot is based on 10m x 1m belt transect. Transect runs from South (0m) to North (10m). 1m x 1m quadrats are read on the left (downhill) side of the transect.     Vegetation Cover:    *FFI Cover/Frequency (Metric) (Racine - Vegetation Cover/Density/Height - 1m x 1m Quadrat) recorded in ten 1m x 1m quadrats along 10m transect.       Active Layer Depth:  *FFI Soils (Racine - Active Layer Depths). One active layer depth collected per quadrat, located mid-distance (0.5m) between quadrat sides and 10 cm off the transect line (inside the quadrat).     Disturbance History:  *FFI Disturbance History (Site Description) record of known or estimated disturbance history events and event timing.","UNIT:  MACROPLOT  Mode: Project Management  Specific Location: “User Variables” Tab	  UV1	Park UNIT (e.g., YUCH, DENA, WRST)  UV2	Pre-Fire Viereck Class Code   UV3	Fire Year (year of most recent fire occurrence) or Treatment Year   UV4	Fire Name and/or Number.    UV5 	Plot Marked:  (Yes, No or Unknown)  UV6	Marker Type: (Wooden Stake, Rebar, etc.)    UNIT: SAMPLING EVENT  Mode: Project management  Specific Location: Properties Tab  Datasheet Location:  General Site Information Datasheet  UV1 	Viereck Vegetation Class - Current Year   UV2 	“Fire Evidence”, “Old Fire Evidence”, or “No Fire Evidence”  UV3 	 Soil Moisture: “Wet”, “Moist”, or “Dry”    UNIT:	COVER-FREQUENCY (METRIC)  Mode: Data Entry and Edit  Datasheet Location:  Vegetation Cover/Density/Height – 1-m x 1-m Quadrats Datasheet (used for NOAT & BELA Tundra Fire Effects – Racine Plots)  UV1	Density (count) of shrubs and tussocks  UV2  UV3    UNIT: SOILS   Mode: Data Entry and Edit  Datasheet Location:  Active Layer/Soils Datasheet  Comments: For tussock areas, enter “Tussock” or “Intertussock” (if noted)  UV1    Depth to Mineral Soil (cm)  UV2    Estimated Pre-fire Depth (cm)    UNIT:	DISTURBANCE HISTORY  Mode: Data Entry and Edit  Datasheet Location: General Site Information Datasheet  UV1	CBI value (total plot CBI value)  UV2	Fire Name if known  UV3	% of plot affected by change agent  Comments: If exact disturbance date is not known or event is ongoing then explain in comments field","BELA","","1977","Kuguruk Hi, #8623","Plot Marked: Yes","Marker Type: Rebar","",""
"BELA-NIM-07",7/16/1978,"C. Racine, M. Racine","Near crest of backslope where > 40% cover by active frost boils which are in stepped pattern with banked fronts. Active frost scars at Quadrats 3,4,5 less active frost scars Quad 9,10. Soil pit 13 cm peat with thawed mineral soil below.",8,"PostBurnYear1","PostBurnYear1","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-07",7/27/1979,"C.Racine, J.Dennis, K.Deveraux","Rapid spread and tillering of Carex and mosses.  Calamagrostis also apparent, patchy distribution, mostly rhizomatous in origin? No thaw info recorded.",9,"PostBurnYear2","PostBurnYear2","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-07",7/4/1980,"K. Deveraux","Frost boils described at quadrats 3, 4, 5.  EPAN described as ""diseased"".",10,"PostBurnYear3","PostBurnYear3","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-07",7/26/1983,"C. Racine","0-m rebar and PVC  10-m rebar  Site is predominatly Carex bigellowii. Areas of sphagnum.    Further to the west towards transect 9 (which was not sampled) the sphagnum appears gone and polytrichum is dominant.  Severity- moderate.",11,"PostBurnYear6","PostBurnYear6","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-07",8/15/2001,"R.Jandt, C. and M. Racine, J. Cole, C.R. Meyers, J. Dennis","",12,"PostBurnYear24","PostBurnYear24","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-07",7/9/2009,"C. Racine, M. Racine","0m- Rebar  10m- Rebar and lathe on ground  Severity- high from photo.",13,"PostBurnYear32","PostBurnYear32","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-07",8/1/2019 1:14:04 PM,"Jennifer Barnes  Jennifer Hrobak  David Swanson  Celia Miller","Plot verging on being classified at Closed Tall Willow Shrub (2B2A). Willow looks taller and more expansion (than 2009).    (See sketch of willow along transect on Site Decription Data Sheet.)    Repeat Photos taken above 10m transect end looking to the lake (similar to NIM-07 1978) (@0906 - JB Camera)",14,"PostBurnYear42","PostBurnYear42","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-08",,"","",,"","","Pre- and Post- Fire Effects (PPF)","Trimble GeoXT 2005","Burn",65.62182387,-163.0946962,,,"","NAD83 2011",,0.6,7/15/1978,,,454.707,"meters",16,181,1,1,"Coordinates listed above are for 0 M end of transect.  Lat/Long for 10 M end: 65.62191758   x  -163.0946448   (error: 0.6 m)    Plot Markers: Rebar at 0m and 10m transect ends.","Declination: 16 deg E","Plot Layout:    *Plot is based on 10m x 1m belt transect. Transect runs from South (0m) to North (10m). 1m x 1m quadrats are read on the left (downhill) side of the transect.     Vegetation Cover:    *FFI Cover/Frequency (Metric) (Racine - Vegetation Cover/Density/Height - 1m x 1m Quadrat) recorded in ten 1m x 1m quadrats along 10m transect.       Active Layer Depth:  *FFI Soils (Racine - Active Layer Depths). One active layer depth collected per quadrat, located mid-distance (0.5m) between quadrat sides and 10 cm off the transect line (inside the quadrat).     Disturbance History:  *FFI Disturbance History (Site Description) record of known or estimated disturbance history events and event timing.","UNIT:  MACROPLOT  Mode: Project Management  Specific Location: “User Variables” Tab	  UV1	Park UNIT (e.g., YUCH, DENA, WRST)  UV2	Pre-Fire Viereck Class Code   UV3	Fire Year (year of most recent fire occurrence) or Treatment Year   UV4	Fire Name and/or Number.    UV5 	Plot Marked:  (Yes, No or Unknown)  UV6	Marker Type: (Wooden Stake, Rebar, etc.)    UNIT: SAMPLING EVENT  Mode: Project management  Specific Location: Properties Tab  Datasheet Location:  General Site Information Datasheet  UV1 	Viereck Vegetation Class - Current Year   UV2 	“Fire Evidence”, “Old Fire Evidence”, or “No Fire Evidence”  UV3 	 Soil Moisture: “Wet”, “Moist”, or “Dry”    UNIT:	COVER-FREQUENCY (METRIC)  Mode: Data Entry and Edit  Datasheet Location:  Vegetation Cover/Density/Height – 1-m x 1-m Quadrats Datasheet (used for NOAT & BELA Tundra Fire Effects – Racine Plots)  UV1	Density (count) of shrubs and tussocks  UV2  UV3    UNIT: SOILS   Mode: Data Entry and Edit  Datasheet Location:  Active Layer/Soils Datasheet  Comments: For tussock areas, enter “Tussock” or “Intertussock” (if noted)  UV1    Depth to Mineral Soil (cm)  UV2    Estimated Pre-fire Depth (cm)    UNIT:	DISTURBANCE HISTORY  Mode: Data Entry and Edit  Datasheet Location: General Site Information Datasheet  UV1	CBI value (total plot CBI value)  UV2	Fire Name if known  UV3	% of plot affected by change agent  Comments: If exact disturbance date is not known or event is ongoing then explain in comments field","BELA","","1977","Kuguruk Hi, #8623","Plot Marked: Yes","Marker Type: Rebar","",""
"BELA-NIM-08",7/14/1973,"C.Racine","Flat site on top of slope-pre-fire.  Much Sphagnum, some CECU and a ""brown Cladonia"".",7,"PreBurn","PreBurn","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-08",7/16/1978,"C.Racine, M. Racine","Flat top of the hill, EriVag is scattered as single shoots.  Soil pit A 15 cm organic remaining then thawed 25 cm into mineral soil.  Soil pit B 30 cm organic, frozen around top of mineral soil.",8,"PostBurnYear1","PostBurnYear1","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-08",7/27/1979,"C.Racine, J.Dennis, K.Deveraux","",9,"PostBurnYear2","PostBurnYear2","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-08",7/4/1980,"","",10,"PostBurnYear3","PostBurnYear3","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-08",8/15/2001,"R.Jandt, C. and M. Racine, J. Cole, C.R. Meyers, J. Dennis","Has white PVC on rebar stake @ origin  Hummocky, Eriophorum but no tussocks, hummocks.",12,"PostBurnYear24","PostBurnYear24","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-08",7/9/2009,"J. Allen, R. Jandt","0-m rebar and PVC  10-m rebar  Site is predominatly Carex bigellowii. Areas of some sphagnum within area.    Further to the west towards transect 9 (which was not sampled) the sphagnum appears gone and polytrichum is dominant.  Severity- moderate.",13,"PostBurnYear32","PostBurnYear32","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-08",8/1/2019 4:29:47 PM,"Jennifer Barnes  Jennifer Hrobak  David Swanson  Celia Miller","Probably considered ""Moist"" but is definitely ""Wet"" after a few days of rain. 0m end near to standing water. Drier towards 10m end. No willow. Small mounds of sphagnum moass with low shrubs. No tussocks, primarily CABI5 & SPHAG. Seems an increase in veg cover from 2009 photos.     Rebar at both 0m & 10m ends. Top of Nimrod Hill is a wide flat bench. Best walking is from NIM-06 to NIM-08.    Repeat photos of 2001 scene taken on 8/1 @ 0927 & 1052 looking NNW to tops of 3 peaks. ",14,"PostBurnYear42","PostBurnYear42","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-09",,"","",,"","","Pre- and Post- Fire Effects (PPF)","NONE","Burn",65.622,-163.09,,,"","",,,,,,1505,"feet",,45,7.5,,"","","","","BELA","","","","","","",""
"BELA-NIM-09",7/14/1973,"","Pre-burn.  Mosses combined, but Sphagum primarily on summary sheet.  Lichens also combined, recorded ""Clad"" in excel, but really a combination of CLRA and ""brown Cladina"".",7,"PreBurn","PreBurn","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-09",7/16/1978,"C.Racine, M.Racine","Abundant sphagnum moss mats, patchily burned: 50% black charred, 50% scorched. Organic 13-15 cm remaining (maybe 50% reduction).",8,"PostBurnYear1","PostBurnYear1","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-09",7/27/1979,"c.RACINE, M.Racine, K.Deveraux","",9,"PostBurnYear2","PostBurnYear2","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"BELA-NIM-09",7/4/1980,"K. Deveraux","Nim9 was on top of ridge from Imuruk Lake, a NE slope, quadrat 1 starting on the upslope (S) end and quadrat 10 downslope (N)",10,"PostBurnYear3","PostBurnYear3","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"DENA-A274-F10",,"","",,"","","Pre- and Post- Fire Effects (PPF)","Trimble Geo7X","Forest",63.724481,-152.144716,,,"","NAD83",,0.3,7/10/2007 12:02:04 PM,,,238,"meters",334,0,0,0,"Coordinates listed above are for 0 M end of transect.  Lat/Long for 30 M end: 63.724715   x  -152.145011  Plot Markers:  Survey Cap (0M), Rebar (30M)  ","","2007 Azimuth was 322 degrees. Azimuth, coordinates and plot markers updated after 2016 plot visit.","For more explicit instructions please request document: FFI Data Entry Instructions from   NPS Alaska Regional Fire Ecology Program (Version: August 2011).      Unit:  MACROPLOT,   Mode:	Project Management  Specific Location: “User Variables” Tab	  UV Fields:   UV1	Park Unit (e.g. YUCH, DENA, WRST)  UV2	Pre-Fire Viereck Vegetation  Class Code   UV3	Fire Year (year of most recent fire occurrence) or Treatment Year   UV4	Fire Name and/or Number.    UV5 	Plot Marked: yes, no, or unknown  UV6 	Marker Type: rebar, wooden lathe, etc.","DENA","1A3D Black Spruce Woodland","2015","Carlson Lake Fire, JT9G","Plot Marked: Yes","Marker Type: Survey Cap (0M), Rebar (30M)","",""
"DENA-A274-F10",7/10/2007 12:19:49 PM,"Walker, Jones, Allen","Declination used: 21 E  Fire Evidence: yes  Fire indicators: burned snags, burned stumps",4,"PostBurnYear5-10","PostBurnYear5-10","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"DENA-A274-F10",7/22/2016 10:13:01 AM,"Jennifer Barnes, Winter West","Fire Evidence = Burned snags, burned stumps, fire scars, burned plants.  Burned three times (1990, 2000 & 2015)    Distance to closest unburned trees: PIMA - 50 meters. Young but some have cones.    Plot markers added in 2015 (Survey Cap @ 0M and Rebar @ 30M).    Trees were used to line up photos but may not be precise. Transect azimuth slightly off from original. 30M --> 0M looked pretty good with photos from 2000, but the size of the printed photos are hard to compare on 0M end.  Majority of transect burned again. Standing dead from 2000 has some scorch marks. ERVA, RUCH, LEPA all resprouting. Likely 3-8 cm more consumption of duff in places. Stringer of unburned PIMA past 30M end of transect - young but 1-2 larger PIMA.  ",8,"PostBurn2XYear1","PostBurn2XYear1","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"DENA-A274-F12",,"","",,"","","Pre- and Post- Fire Effects (PPF)","Trimble Geo7X","Forest",63.726326,-152.140566,,,"","NAD83",,0.2,7/10/2007 1:57:55 PM,,,241,"meters",356,0,0,0,"Coordinates listed above are for 0 M end of transect.  Lat/Long for 30 M end:  63.726595  x   -152.140621 (error: 0.2 m)  Plot Markers: Survey Cap (0M), Rebar (30M)","","2007 Azimuth was 349 degrees. Azimuth, coordinates and plot markers updated after 2016 plot visit.","For more explicit instructions please request document: FFI Data Entry Instructions from   NPS Alaska Regional Fire Ecology Program (Version: August 2011.      Unit:  MACROPLOT,   Mode:	Project Management  Specific Location: “User Variables” Tab	  UV Fields:   UV1	Park Unit (e.g. YUCH, DENA, WRST)  UV2	Pre-Fire Viereck Vegetation  Class Code   UV3	Fire Year (year of most recent fire occurrence) or Treatment Year   UV4	Fire Name and/or Number.    UV5 	Plot Marked: yes, no, or unknown  UV6 	Marker Type: rebar, wooden lathe, etc.","DENA","1A2F Open Black Spruce Forest","2015","Carlson Lake Fire, JT9G","Plot Marked: Yes","Marker Type: Survey Cap (0M), Rebar (30M)","",""
"DENA-A274-F12",7/10/2007 2:04:18 PM,"Walker, Jones, Weddle, Allen","No point intercept taken, plot not burned.  ",0,"PreBurn","PreBurn","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"DENA-A274-F12",7/22/2016 3:48:31 PM,"Jennifer Hrobak, Rachel Loehman, Esther Babcock","Fire Evidence = Burned snags, burned plants.    Distance to closest unburned trees: 10meters Southeast of 0M transect end.    Plot markers added in 2015 (Survey Cap @ 0M and Rebar @ 30M).    Unburned in the 2000 Foraker Fire.     Wet areas look larger than in 2007 (east side of transect). Now wetter area on west side that was not visible in 2007 photos. Standing water on both sides of the transect. Plot did not burn in 200 Foraker Fires, burned only in 2015. Low burn severity. Fire carried through low shrubs and lichen. Plot has higher Sphagnum cover. RUCH, LEPAD and BENA resprouting. No live trees. Small tree branches/fines in standing dead still intact. Photo of charred lichen takend at 1850 is unidentified on point intercept transect.",6,"PostBurnYear1","PostBurnYear1","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"DENA-A274-F13",,"","",,"","","Pre- and Post- Fire Effects (PPF)","GPSMap76CSX","Forest",63.72826695,-152.12981572,,,"","NAD83",,,7/10/2007 8:56:16 AM,,,237,"meters",17,0,0,0,"WAYPOINT	A274-F13-0M	63.72826695	-152.12981572	237.00	10-JUL-07 5:48:38PM	GPSMap76CSX        WAYPOINT	A274-F13-30M	63.72850508	-152.12968849	235.00	10-JUL-07 6:00:41PM	GPSMap76CSX  ","","","For more explicit instructions please request document: FFI Data Entry Instructions from   NPS Alaska Regional Fire Ecology Program (Version: August 2011.      Unit:  MACROPLOT,   Mode:	Project Management  Specific Location: “User Variables” Tab	  UV Fields:   UV1	Park Unit (e.g. YUCH, DENA, WRST)  UV2	Pre-Fire Viereck Vegetation  Class Code   UV3	Fire Year (year of most recent fire occurrence) or Treatment Year   UV4	Fire Name and/or Number.    UV5 	Plot Marked: yes, no, or unknown  UV6 	Marker Type: rebar, wooden lathe, etc.","DENA","1A3D Black Spruce Woodland","2000","Foraker Fire, A274","Plot Marked: No","N/A","",""
"DENA-A274-F13",7/10/2007 9:25:32 AM,"Walker, Allen, Weddle, Jones","Fire Evidence: yes    Fire Indicators: Burned snags",4,"PostBurnYear5-10","PostBurnYear5-10","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"DENA-A274-F8",,"","",,"","","Pre- and Post- Fire Effects (PPF)","Trimble Geo7X","Forest",63.72283,-152.141952,,,"","NAD83",,0.2,7/10/2007 1:45:18 PM,,,243,"meters",5,0,0,0,"Coordinates listed above are for 0 M end of transect.  Lat/Long for 30 M end:  63.723098  x  -152.141866   (error: 0.2 m)  Plot Markers: Survey Cap (0M), Rebar (30M)  ","","2007 Azimuth was 0 degrees. Azimuth, coordinates and plot markers updated after 2016 plot visit.","For more explicit instructions please request document: FFI Data Entry Instructions from   NPS Alaska Regional Fire Ecology Program (Version: August 2011.      Unit:  MACROPLOT,   Mode:	Project Management  Specific Location: “User Variables” Tab	  UV Fields:   UV1	Park Unit (e.g. YUCH, DENA, WRST)  UV2	Pre-Fire Viereck Vegetation  Class Code   UV3	Fire Year (year of most recent fire occurrence) or Treatment Year   UV4	Fire Name and/or Number.    UV5 	Plot Marked: yes, no, or unknown  UV6 	Marker Type: rebar, wooden lathe, etc.","DENA","1A3D Black Spruce Woodland","2015","Carlson Lake Fire, JT9G","Plot Marked: Yes","Marker Type: Survey Cap (0M), Rebar (30M)","",""
"DENA-A274-F8",7/10/2007 2:40:12 PM,"L. Weddle, J. Allen, C. Walker, K. Jones","Declination used: 21 E  Fire Evidence: yes  Fire Indicators: burned snags, burned stumps, fire scars, charcoal",4,"PostBurnYear5-10","PostBurnYear5-10","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"DENA-A274-F8",7/22/2016 2:19:59 PM,"Jennifer Barnes, Jennifer Hrobak, Winter West, Rachel Loehman, Esther Babcock","Fire Evidence: Burned twice (in 2000 and in 2015). Burned snags, burned stumps, fire scars, burned plants and charcoal present.    Distance to closest unburned trees: @ 5m on tape (LALA seedlings),  10 m from 0m end (LALA tree), 20m from 15m on tape (stunted PIMA).    Plot markers added in 2015 (Survey Cap @ 0M and Rebar @ 30M).    Very patchy burn with low severity overall. Pond at 18-19m on the tape. Larger melt pond to the west of the tape. Likely these areas burned deep in 2000 (& possibly in 2015). 0m end of tape now under water.",8,"PostBurn2XYear1","PostBurn2XYear1","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"DENA-A274-F9",,"","",,"","","Pre- and Post- Fire Effects (PPF)","Trimle Geo7X","Forest",63.72326,-152.138941,,,"","NAD83",,0.2,7/10/2007 5:17:40 PM,,,243,"meters",0,0,0,0,"Coordinates listed above are for 0 M end of transect.  Lat/Long for 30 M end: 63.723528  x  -152.138915   (error:  0.2m)  Plot Markers: Survey Cap (0M), Rebar (30M)  ","","Coordinates and plot markers updated after 2016 plot visit.","For more explicit instructions please request document: FFI Data Entry Instructions from   NPS Alaska Regional Fire Ecology Program (Version: August 2011.      Unit:  MACROPLOT,   Mode:	Project Management  Specific Location: “User Variables” Tab	  UV Fields:   UV1	Park Unit (e.g. YUCH, DENA, WRST)  UV2	Pre-Fire Viereck Vegetation  Class Code   UV3	Fire Year (year of most recent fire occurrence) or Treatment Year   UV4	Fire Name and/or Number.    UV5 	Plot Marked: yes, no, or unknown  UV6 	Marker Type: rebar, wooden lathe, etc.","DENA","1A3D Black Spruce Woodland","2015","Carlson Lake Fire, JT9G","Plot Marked: Yes","Marker Type: Survey Cap (0M), Rebar (30M)","",""
"DENA-A274-F9",7/10/2007 8:43:28 AM,"Weddle, Allen, Walker, Jones","Fire evidence: yes  Fire indicators:burned snags, burned stumps, fire scars, charcoal",4,"PostBurnYear5-10","PostBurnYear5-10","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"DENA-A274-F9",7/22/2016 12:43:09 PM,"Jennifer Barnes, Jennifer Hrobak, Winter West, Rachel Loehman, Esther Babcock","Fire Evidence: Burned snags, burned stumps, burned plants, charcoal.  Burned twice: Foraker Fire in 2000 and Carlson Lake Fire in 2015.    Distance to closest unburned trees: At 0m transect end, approximately 500 ft away is pocket of tall BEPA and PIMA seedlings. At 30 m end, approximately 40 ft away is unburned pocket of stunted PIMA (under 4.5 ft tall).     Plot markers added in 2015 (Survey Cap @ 0M and Rebar @ 30M).    Most standing dead spruce were killed in 2000 fire. A few new PIMA seedlings (approx. 2 ft tall) were killed in 2015 fire. 100% tree mortality. Low end of moderate severity based on duff consumption between tussocks. No tussock mortality. BENA & LEPAD = healthy resprouting. New ERVA seedlins present. More PIMA seedlings from after 2000 fire were seen near F Plots Landing Zone.  ",8,"PostBurn2XYear1","PostBurn2XYear1","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"DENA-A274-G1",,"","",,"","","Pre- and Post- Fire Effects (PPF)","Trimble Geo7X","Forest",63.805442,-151.963312,,,"","NAD83",,0.2,7/8/2007 11:28:38 AM,,,210,"meters",20,0,0,0,"Coordinates listed above are for 0 M end of transect.  Lat/Long for 30 M end: 63.805709  x  -151.963193  (error: 0.2  m)  Plot Markers: Survey Cap (0M), Rebar (30M)","","2007 Azimuth was 0 degrees. Azimuth, coordinates and plot markers updated after 2016 plot visit.  (Photos were used to match plot locations. Declination may not have been set in 2007 visit)","For more explicit instructions please request document: FFI Data Entry Instructions from   NPS Alaska Regional Fire Ecology Program (Version: August 2011.      Unit:  MACROPLOT,   Mode:	Project Management  Specific Location: “User Variables” Tab	  UV Fields:   UV1	Park Unit (e.g. YUCH, DENA, WRST)  UV2	Pre-Fire Viereck Vegetation  Class Code   UV3	Fire Year (year of most recent fire occurrence) or Treatment Year   UV4	Fire Name and/or Number.    UV5 	Plot Marked: yes, no, or unknown  UV6 	Marker Type: rebar, wooden lathe, etc.","DENA","1A3D Black Spruce Woodland","2000","Foraker Fire, A274","Plot Marked: Yes","Marker Type: Survey Cap (0M), Rebar (30M)","",""
"DENA-A274-G1",7/8/2007 11:44:54 AM,"Mitchell, Walker, Jones","Fire evidence: yes  Fire indicators: burned snags, burned stumps",4,"PostBurnYear5-10","PostBurnYear5-10","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"DENA-A274-G1",8/17/2016 8:46:09 AM,"Jennifer Hrobak, Rachel Loehman, Stacie Oaks","Fire Evidence = Burned snags, burned stumps, burned plants.  Burned in 2000. Did NOT burn in 2015.    Distance to closest unburned trees: 100 meters east of plot (mature PIMA). Saplings/young LALA 5 meters northeast of 30M transect end.    Plot markers added in 2015 (Survey Cap @ 0M and Rebar @ 30M).  Matched transect to 2007 photos. Declination was not set in 2007. Transect azimuth now 20 degrees. Photos were also taken several feet back from the 0M and 30M ends. 2016 photos were taken to match.     LALA seedllings and young trees are just outside of the plot. PIMA seedlings inside the plat at 10-20 cm tall. G1 plot similar to G2 and G4 plot but with more water between tussocks than other G plots.",7,"PostBurnYear16","PostBurnYear16","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"DENA-A274-G2",,"","",,"","","Pre- and Post- Fire Effects (PPF)","Trimble Geo7X","Forest",63.804893,-151.965285,,,"","NAD83",,0.2,7/18/2007 2:12:34 PM,,,210,"meters",0,0,0,0,"Coordinates listed above are for 0 M end of transect.  Lat/Long for 30 M end: 63.805163  x  -151.965307   (error: 0.2 m)  Plot Markers: Survey Cap (0M), Rebar (30M)","","Coordinates, elevation, and plot markers updated after 2016 plot visit.","For more explicit instructions please request document: FFI Data Entry Instructions from   NPS Alaska Regional Fire Ecology Program (Version: August 2011.      Unit:  MACROPLOT,   Mode:	Project Management  Specific Location: “User Variables” Tab	  UV Fields:   UV1	Park Unit (e.g. YUCH, DENA, WRST)  UV2	Pre-Fire Viereck Vegetation  Class Code   UV3	Fire Year (year of most recent fire occurrence) or Treatment Year   UV4	Fire Name and/or Number.    UV5 	Plot Marked: yes, no, or unknown  UV6 	Marker Type: rebar, wooden lathe, etc.","DENA","1A3D Black Spruce Woodland","2000","Foraker Fire, A274","Plot Marked: Yes","Marker Type: Survey Cap (0M), Rebar (30M)","",""
"DENA-A274-G2",7/18/2007 2:28:57 PM,"Mitchell, Jones, Walker","Fire evidence: yes  Fire indicators: burned snags, burned stumps",4,"PostBurnYear5-10","PostBurnYear5-10","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
